stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
stand,double,stand,stand,stand,hit,stand,stand,stand,stand
stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
double,hit,double,hit,double,hit,hit,hit,hit,hit
double,double,double,double,double,hit,hit,hit,hit,hit
double,double,double,double,double,hit,hit,hit,hit,hit
double,double,double,double,double,hit,hit,hit,hit,hit
double,double,double,double,double,stand,stand,stand,stand,stand
double,double,double,double,double,stand,stand,stand,stand,stand
double,double,double,double,double,stand,stand,stand,stand,stand
double,double,double,double,double,stand,stand,stand,stand,stand
split,split,split,split,hit,hit,hit,hit,hit,hit
split,split,split,split,split,hit,hit,hit,hit,hit
hit,split,split,split,split,hit,hit,hit,hit,hit
split,split,split,hit,hit,hit,hit,hit,hit,hit
split,split,split,split,split,hit,hit,hit,hit,hit
hit,split,split,split,split,hit,hit,hit,hit,hit
split,hit,split,split,hit,hit,hit,hit,hit,hit
split,split,hit,split,hit,hit,hit,hit,hit,hit
hit,hit,double,hit,hit,stand,stand,stand,stand,stand
split,split,split,split,split,hit,split,split,hit,split
